Course No,Course Title,Units,Instructor,Start Date,End Date,Days,Time,Notes,Location,Capacity,Filled,Available
MBA292T.1,Systems Change for a Small Planet,3.0,"Rosenzweig, W. , Madsen, K.",08/27/2025,12/10/2025,Th,8:00AM-11:00AM,,N440 Chou,28,22,6
MBA292T.12,Earth Centered Product Design and Management,1.0,"Iyer, G.",10/11/2025,10/18/2025,Su,9:00AM- 5:00PM,,N470 Chou,37,4,33
MBA292T.13,"Sustainable, Impact, and Climate Investing Landscape",1.0,"Lai, J. , Butler, R.",10/04/2025,10/25/2025,Su,9:00AM- 5:00PM,,N370 Chou,24,12,12
MBA292T.2,Climate Change and Business Strategy,3.0,"Isaacs, A.",08/24/2025,12/07/2025,M,6:00PM- 9:30PM,,N270 Chou,29,11,18
MBA292T.3,Improving Our Food System Through Values-Based Supply Chains,3.0,"York, H.",08/26/2025,12/11/2025,W,2:00PM- 5:00PM,,C210 Cheit,32,5,27
MBA292T.4,Plant Futures Challenge Lab,3.0,"Sartor, B. , Schinner, M.",08/24/2025,12/07/2025,M,2:00PM- 4:00PM,,N540 Chou,16,5,11
MBA292T.5,Business Models for Social Impact,3.0,"Lee, G. , Groos Richmond, K.",08/26/2025,12/16/2025,W,6:00PM- 9:30PM,,N500 Chou,39,10,29
MBA292T.6,Conflict Lab,2.0,"LeBaron, I. , Jenkins, B.",08/25/2025,10/27/2025,T,2:00PM- 5:00PM,,N440 Chou,40,40,0
MBA292T.7,Climate Solutions Fund,3.0,"TBD, I. , Evans, T.",08/26/2025,12/11/2025,MW,4:00PM- 6:00PM,,N570 Chou,20,20,0
MBA292T.8,Food Innovation Studio,3.0,"Rosenzweig, W.",08/26/2025,12/09/2025,W,6:00PM- 9:30PM,,N440 Chou,30,20,10
MBA292T.9,Large-Scale Social Change: Social Movements and More,2.0,"Silver, N. , Nagai-Ma, S.",08/26/2025,12/09/2025,W,2:00PM- 4:00PM,,C325 Cheit,28,9,19
MBA295A.1F,Entrepreneurship,3.0,"Beyer, K. , Somasundaram, S.",08/27/2025,12/10/2025,Th,6:00PM- 9:30PM,Online,,25,14,11
MBA295B.1,Venture Capital & Private Equity,3.0,"Foote, C. , Maltz, J.",08/26/2025,12/09/2025,W,6:00PM- 9:30PM,,N570 Chou,37,37,0
MBA295C.1F,Opportunity Recognition: Technology and Entrepreneurship in,2.0,"Metzler, J.",08/26/2025,12/02/2025,W,4:00PM- 6:00PM,Online course.,,25,20,5
MBA295T.1,Bay Area Innovation and Entrepreneurship,2.0,"Charron, D. , Foote, C.",10/12/2025,10/16/2025,ThF,9:00AM- 5:00PM,"Unique course schedule, see course description.",N340 Chou,7,7,0
MBA295T.11,Startup Disco,1.0,"Shrader, R.",09/18/2025,09/20/2025,F,4:30PM- 9:30PM,"Unique course schedule, see course description.",N540 Chou,24,3,21
MBA295T.2,Lean Transfer,2.0,"Shrader, R. , Ruparel, A.",08/27/2025,12/10/2025,Th,4:00PM- 6:00PM,,N170 Chou,57,4,53
MBA295T.3,Startup Sales,2.0,"Wadcan, J.",08/26/2025,12/09/2025,W,2:00PM- 4:00PM,,N270 Chou,57,42,15
MBA296.11,Life Sciences Marketing,1.0,"Ford, J.",09/13/2025,10/11/2025,Su,9:00AM- 5:00PM,,N270 Chou,29,8,21
MBA296.1F,Strategically Managing Healthcare Policy - Washington Campus,2.0,"Macpherson, K.",11/08/2025,12/06/2025,MTWThF,7:00AM- 3:00PM,"Unique course structure, see course description. Online course.",,15,1,14
MBA296.3,Human-Centered AI-Powered Presentations,1.0,"Charnsupharindr, D.",08/24/2025,10/12/2025,M,2:00PM- 4:00PM,,N270 Chou,30,30,0
MBA297A.1,Healthcare in the 21st Century,3.0,"Macpherson, K.",08/26/2025,12/09/2025,MW,11:00AM-12:30PM,,N300 Chou,56,25,31
MBA299M.1,Marketing Strategy,3.0,"Pearce, W.",08/24/2025,12/07/2025,M,6:00PM- 9:30PM,,N470 Chou,29,29,0
MBA210B.1,International Business Development for MBAs IP course,1.0,"Hirschler, W.; Hopelain, J.",09/12/2025,09/12/2025,F,9:00AM-12:00PM,N3OO Chou,100,0,100
